sampleID,SampleID,group,series,stage,plant_rep,harvest_date,PlantID,height,predry_w_env,postdry_w_env,envelope,predry,postdry,compartment,compartment_code,RP_extr_number,RS_extr_number,pellet_date,extr_date,extr_group,sample_type,control_type,experiment
RP_57,RP_57,Zeb,growth,V3,2,30-Aug,Zeb_growth_V3_2,11.5,6.59,3.3,2.5,4.09,0.8,rhizoplane,RP,57,,4/13/23,5/9/23,3,sample,,rhizo_assembly
RP_58,RP_58,Zeb,growth,V3,4,30-Aug,Zeb_growth_V3_4,10.1,5.92,3.18,2.5,3.42,0.68,rhizoplane,RP,58,,4/13/23,5/9/23,3,sample,,rhizo_assembly
RP_59,RP_59,Zeb,growth,V4,1,6-Sep,Zeb_growth_V4_1,9.6,12.52,9.54,8.88,3.64,0.66,rhizoplane,RP,59,,4/13/23,5/9/23,3,sample,,rhizo_assembly
RP_6,RP_6,Control,time,day35,2,9-Sep,Control_time_day35_2,28.1,43.31,21.17,16.27,27.04,4.9,rhizoplane,RP,6,,4/12/23,5/8/23,1,sample,,rhizo_assembly
RP_60,RP_60,Zeb,time,day3,5,8-Aug,Zeb_time_day3_5,0,,,,,,rhizoplane,RP,60,,4/13/23,5/9/23,3,sample,,rhizo_assembly
RP_61,RP_61,Zeb,time,day49,2,23-Sep,Zeb_time_day49_2,18.3,27.58,18.87,16.27,11.31,2.6,rhizoplane,RP,61,,4/13/23,5/9/23,3,sample,,rhizo_assembly
RP_62,RP_62,Zeb,time,day49,5,23-Sep,Zeb_time_day49_5,18.7,27.55,18.95,16.27,11.28,2.68,rhizoplane,RP,62,,4/13/23,5/9/23,3,sample,,rhizo_assembly
RP_63,RP_63,,,,,,Negative_group3,,,,,,,rhizoplane,RP,63,,4/13/23,5/9/23,3,control,negative,rhizo_assembly
RP_64,RP_64,Control,growth,R4,1,11-Sep,Control_growth_R4_1,21.4,59.84,22.09,16.27,43.57,5.82,rhizoplane,RP,64,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_65,RP_65,Control,growth,R7,4,28-Sep,Control_growth_R7_4,24.2,51.38,26.01,16.27,35.11,9.74,rhizoplane,RP,65,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_66,RP_66,Control,growth,R7,5,28-Sep,Control_growth_R7_5,25.7,34.76,26.5,16.27,18.49,10.23,rhizoplane,RP,66,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_67,RP_67,Control,growth,V3,3,24-Aug,Control_growth_V3_3,20.3,23.24,18.42,16.27,6.97,2.15,rhizoplane,RP,67,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_68,RP_68,Control,growth,V4,3,30-Aug,Control_growth_V4_3,20.3,25.85,18.17,16.27,9.58,1.9,rhizoplane,RP,68,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_69,RP_69,Control,time,day3,3,8-Aug,Control_time_day3_3,0,,,,,,rhizoplane,RP,69,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_7,RP_7,Control,time,day63,3,7-Oct,Control_time_day63_3,32.5,40.15,29.61,16.27,23.88,13.34,rhizoplane,RP,7,,4/12/23,5/8/23,1,sample,,rhizo_assembly
RP_70,RP_70,Control,time,day35,3,9-Sep,Control_time_day35_3,33.9,37.2,20.25,16.27,20.93,3.98,rhizoplane,RP,70,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_71,RP_71,Control,time,day49,4,23-Sep,Control_time_day49_4,35.4,47.77,25.05,16.27,31.5,8.78,rhizoplane,RP,71,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_72,RP_72,Control,time,day63,5,7-Oct,Control_time_day63_5,30.9,40.14,27.85,16.27,23.87,11.58,rhizoplane,RP,72,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_73,RP_73,Control,time,day7,4,12-Aug,Control_time_day7_4,7.3,4.78,2.91,2.5,2.28,0.41,rhizoplane,RP,73,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_74,RP_74,Zeb,growth,R7,4,19-Oct,Zeb_growth_R7_4,20.6,31.87,29.89,16.27,15.6,13.62,rhizoplane,RP,74,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_75,RP_75,Zeb,growth,R7,5,19-Oct,Zeb_growth_R7_5,28.3,27.38,24.72,16.27,11.11,8.45,rhizoplane,RP,75,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_76,RP_76,Zeb,growth,V1,2,25-Aug,Zeb_growth_V1_2,6.7,5.46,3.08,2.5,2.96,0.58,rhizoplane,RP,76,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_77,RP_77,Zeb,growth,V3,3,30-Aug,Zeb_growth_V3_3,10.5,6.19,3.34,2.5,3.69,0.84,rhizoplane,RP,77,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_78,RP_78,Zeb,time,day14,1,19-Aug,Zeb_time_day14_1,4.8,4.04,3,2.5,1.54,0.5,rhizoplane,RP,78,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_79,RP_79,Zeb,time,day14,2,19-Aug,Zeb_time_day14_2,5,4.21,2.96,2.5,1.71,0.46,rhizoplane,RP,79,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_8,RP_8,Zeb,growth,R4,1,29-Sep,Zeb_growth_R4_1,25,45.72,21.73,16.27,29.45,5.46,rhizoplane,RP,8,,4/12/23,5/8/23,1,sample,,rhizo_assembly
RP_80,RP_80,Zeb,time,day35,4,9-Sep,Zeb_time_day35_4,13.4,24.01,18.07,16.27,7.74,1.8,rhizoplane,RP,80,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_81,RP_81,Zeb,time,day35,5,9-Sep,Zeb_time_day35_5,14.6,19.97,17.02,16.27,3.7,0.75,rhizoplane,RP,81,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_82,RP_82,Zeb,time,day49,3,23-Sep,Zeb_time_day49_3,24.4,28.32,18.98,16.27,12.05,2.71,rhizoplane,RP,82,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_83,RP_83,Zeb,time,day7,4,12-Aug,Zeb_time_day7_4,1.2,3.85,3.05,2.5,1.35,0.55,rhizoplane,RP,83,,4/14/23,5/10/23,4,sample,,rhizo_assembly
RP_84,RP_84,,,,,,Negative_group4,,,,,,,rhizoplane,RP,84,,4/14/23,5/10/23,4,control,negative,rhizo_assembly
RP_85,RP_85,Control,growth,R1,1,31-Aug,Control_growth_R1_1,22.9,28.81,18.34,16.27,12.54,2.07,rhizoplane,RP,85,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_86,RP_86,Control,growth,R1,2,31-Aug,Control_growth_R1_2,26.7,28.23,18.37,16.27,11.96,2.1,rhizoplane,RP,86,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_87,RP_87,Control,growth,R4,2,11-Sep,Control_growth_R4_2,25.1,53.66,21.35,16.27,37.39,5.08,rhizoplane,RP,87,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_88,RP_88,Control,growth,V1,3,15-Aug,Control_growth_V1_3,12.4,,3.07,2.5,,0.57,rhizoplane,RP,88,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_89,RP_89,Control,growth,V3,4,24-Aug,Control_growth_V3_4,17.5,21.65,17.65,16.27,5.38,1.38,rhizoplane,RP,89,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_9,RP_9,Zeb,growth,R7,2,19-Oct,Zeb_growth_R7_2,14.8,28.38,22.53,16.27,12.11,6.26,rhizoplane,RP,9,,4/12/23,5/8/23,1,sample,,rhizo_assembly
RP_90,RP_90,Control,growth,V3,5,24-Aug,Control_growth_V3_5,13.9,19.94,17.49,16.27,3.67,1.22,rhizoplane,RP,90,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_91,RP_91,Control,time,day14,5,19-Aug,Control_time_day14_5,10.7,20.01,16.81,16.27,3.74,0.54,rhizoplane,RP,91,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_92,RP_92,Control,time,day21,3,26-Aug,Control_time_day21_3,17.6,23.51,17.62,16.27,7.24,1.35,rhizoplane,RP,92,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_93,RP_93,Control,time,day21,4,26-Aug,Control_time_day21_4,19.6,24.39,17.77,16.27,8.12,1.5,rhizoplane,RP,93,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_94,RP_94,Control,time,day3,1,8-Aug,Control_time_day3_1,0,,,,,,rhizoplane,RP,94,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_95,RP_95,Control,time,day3,2,8-Aug,Control_time_day3_2,0,,,,,,rhizoplane,RP,95,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_96,RP_96,Control,time,day63,1,7-Oct,Control_time_day63_1,31.5,36.61,28.26,16.27,20.34,11.99,rhizoplane,RP,96,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_97,RP_97,Zeb,growth,V4,3,6-Sep,Zeb_growth_V4_3,15.1,12.32,9.33,8.88,3.44,0.45,rhizoplane,RP,97,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_98,RP_98,Zeb,growth,V4,5,6-Sep,Zeb_growth_V4_5,13,15.43,10.12,8.88,6.55,1.24,rhizoplane,RP,98,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RP_99,RP_99,Zeb,time,day21,4,26-Aug,Zeb_time_day21_4,4.4,4.45,3.01,2.5,1.95,0.51,rhizoplane,RP,99,,4/15/23,5/10/23,5,sample,,rhizo_assembly
RS_149,RS_149,Control,growth,R1,5,31-Aug,Control_growth_R1_5,31.9,30.11,18.69,16.27,13.84,2.42,rhizosphere,RS,,149,,5/13/23,8,sample,,rhizo_assembly
RS_150,RS_150,Control,growth,V2,1,19-Aug,Control_growth_V2_1,13.9,21.15,17.39,16.27,4.88,1.12,rhizosphere,RS,,150,,5/13/23,8,sample,,rhizo_assembly
RS_151,RS_151,Control,growth,V3,2,24-Aug,Control_growth_V3_2,14.3,20.66,17.75,16.27,4.39,1.48,rhizosphere,RS,,151,,5/13/23,8,sample,,rhizo_assembly
RS_152,RS_152,Control,time,day14,2,19-Aug,Control_time_day14_2,11.8,20,16.86,16.27,3.73,0.59,rhizosphere,RS,,152,,5/13/23,8,sample,,rhizo_assembly
RS_153,RS_153,Control,time,day21,2,26-Aug,Control_time_day21_2,18.9,24.75,18.07,16.27,8.48,1.8,rhizosphere,RS,,153,,5/13/23,8,sample,,rhizo_assembly
RS_154,RS_154,Control,time,day35,2,9-Sep,Control_time_day35_2,28.1,43.31,21.17,16.27,27.04,4.9,rhizosphere,RS,,154,,5/13/23,8,sample,,rhizo_assembly
RS_155,RS_155,Control,time,day63,3,7-Oct,Control_time_day63_3,32.5,40.15,29.61,16.27,23.88,13.34,rhizosphere,RS,,155,,5/13/23,8,sample,,rhizo_assembly
RS_156,RS_156,Zeb,growth,R4,1,29-Sep,Zeb_growth_R4_1,25,45.72,21.73,16.27,29.45,5.46,rhizosphere,RS,,156,,5/13/23,8,sample,,rhizo_assembly
RS_157,RS_157,Zeb,growth,R7,2,19-Oct,Zeb_growth_R7_2,14.8,28.38,22.53,16.27,12.11,6.26,rhizosphere,RS,,157,,5/13/23,8,sample,,rhizo_assembly
RS_158,RS_158,Zeb,growth,R7,3,19-Oct,Zeb_growth_R7_3,22.3,27.99,26.05,16.27,11.72,9.78,rhizosphere,RS,,158,,5/13/23,8,sample,,rhizo_assembly
RS_159,RS_159,Zeb,growth,V1,3,25-Aug,Zeb_growth_V1_3,10.1,4.97,3.01,2.5,2.47,0.51,rhizosphere,RS,,159,,5/13/23,8,sample,,rhizo_assembly
RS_160,RS_160,Zeb,growth,V1,4,25-Aug,Zeb_growth_V1_4,7.9,4.14,2.89,2.5,1.64,0.39,rhizosphere,RS,,160,,5/13/23,8,sample,,rhizo_assembly
RS_161,RS_161,Zeb,growth,V2,2,29-Aug,Zeb_growth_V2_2,8.1,5.26,3.11,2.5,2.76,0.61,rhizosphere,RS,,161,,5/13/23,8,sample,,rhizo_assembly
RS_162,RS_162,Zeb,growth,V2,3,29-Aug,Zeb_growth_V2_3,7.9,5.17,2.95,2.5,2.67,0.45,rhizosphere,RS,,162,,5/13/23,8,sample,,rhizo_assembly
RS_163,RS_163,Zeb,growth,V2,5,29-Aug,Zeb_growth_V2_5,10,4.86,2.85,2.5,2.36,0.35,rhizosphere,RS,,163,,5/13/23,8,sample,,rhizo_assembly
RS_164,RS_164,Zeb,time,day21,5,26-Aug,Zeb_time_day21_5,4.1,4.15,3.02,2.5,1.65,0.52,rhizosphere,RS,,164,,5/13/23,8,sample,,rhizo_assembly
RS_165,RS_165,Zeb,time,day3,4,8-Aug,Zeb_time_day3_4,0,,,,,,rhizosphere,RS,,165,,5/13/23,8,sample,,rhizo_assembly
RS_166,RS_166,Zeb,time,day63,2,7-Oct,Zeb_time_day63_2,24.6,39.77,21.7,16.27,23.5,5.43,rhizosphere,RS,,166,,5/13/23,8,sample,,rhizo_assembly
RS_167,RS_167,Zeb,time,day7,1,12-Aug,Zeb_time_day7_1,2,3.75,2.95,2.5,1.25,0.45,rhizosphere,RS,,167,,5/13/23,8,sample,,rhizo_assembly
RS_168,RS_168,Zeb,time,day7,3,12-Aug,Zeb_time_day7_3,1.1,4.31,3.14,2.5,1.81,0.64,rhizosphere,RS,,168,,5/13/23,8,sample,,rhizo_assembly
RS_169,RS_169,,,,,,Negative_group8,,,,,,,rhizosphere,RS,,169,,5/13/23,8,control,negative,rhizo_assembly
RS_170,RS_170,Control,growth,R1,4,31-Aug,Control_growth_R1_4,28.8,30.59,18.9,16.27,14.32,2.63,rhizosphere,RS,,170,,5/13/23,9,sample,,rhizo_assembly
RS_171,RS_171,Control,growth,R4,5,11-Sep,Control_growth_R4_5,37.7,68.28,23.59,16.27,52.01,7.32,rhizosphere,RS,,171,,5/13/23,9,sample,,rhizo_assembly
RS_172,RS_172,Control,growth,R7,1,28-Sep,Control_growth_R7_1,28.2,32.16,28.55,16.27,15.89,12.28,rhizosphere,RS,,172,,5/13/23,9,sample,,rhizo_assembly
RS_173,RS_173,Control,growth,V2,4,19-Aug,Control_growth_V2_4,10.1,19.95,16.98,16.27,3.68,0.71,rhizosphere,RS,,173,,5/13/23,9,sample,,rhizo_assembly
RS_174,RS_174,Control,growth,V4,1,30-Aug,Control_growth_V4_1,27.1,27.57,18.39,16.27,11.3,2.12,rhizosphere,RS,,174,,5/13/23,9,sample,,rhizo_assembly
RS_175,RS_175,Control,growth,V4,2,30-Aug,Control_growth_V4_2,26.1,26.24,18.16,16.27,9.97,1.89,rhizosphere,RS,,175,,5/13/23,9,sample,,rhizo_assembly
RS_176,RS_176,Control,growth,V4,4,30-Aug,Control_growth_V4_4,25.9,27.48,18.2,16.27,11.21,1.93,rhizosphere,RS,,176,,5/13/23,9,sample,,rhizo_assembly
RS_177,RS_177,Control,time,day14,1,19-Aug,Control_time_day14_1,11.9,20.01,17.09,16.27,3.74,0.82,rhizosphere,RS,,177,,5/13/23,9,sample,,rhizo_assembly
RS_178,RS_178,Control,time,day14,3,19-Aug,Control_time_day14_3,13,20.21,17.2,16.27,3.94,0.93,rhizosphere,RS,,178,,5/13/23,9,sample,,rhizo_assembly
RS_179,RS_179,Control,time,day3,5,8-Aug,Control_time_day3_5,0,,,,,,rhizosphere,RS,,179,,5/13/23,9,sample,,rhizo_assembly
RS_180,RS_180,Control,time,day35,4,9-Sep,Control_time_day35_4,28.1,43.98,20.66,16.27,27.71,4.39,rhizosphere,RS,,180,,5/13/23,9,sample,,rhizo_assembly
RS_181,RS_181,Control,time,day7,2,12-Aug,Control_time_day7_2,7.8,4.58,2.93,2.5,2.08,0.43,rhizosphere,RS,,181,,5/13/23,9,sample,,rhizo_assembly
RS_182,RS_182,Zeb,growth,R1,2,11-Sep,Zeb_growth_R1_2,22.2,24.56,17.46,16.27,8.29,1.19,rhizosphere,RS,,182,,5/13/23,9,sample,,rhizo_assembly
RS_183,RS_183,Zeb,growth,V2,1,29-Aug,Zeb_growth_V2_1,8.3,5.07,3.03,2.5,2.57,0.53,rhizosphere,RS,,183,,5/13/23,9,sample,,rhizo_assembly
RS_184,RS_184,Zeb,growth,V2,4,29-Aug,Zeb_growth_V2_4,8.7,5.51,3.07,2.5,3.01,0.57,rhizosphere,RS,,184,,5/13/23,9,sample,,rhizo_assembly
RS_185,RS_185,Zeb,time,day14,5,19-Aug,Zeb_time_day14_5,4.2,4.14,3.03,2.5,1.64,0.53,rhizosphere,RS,,185,,5/13/23,9,sample,,rhizo_assembly
RS_186,RS_186,Zeb,time,day3,1,8-Aug,Zeb_time_day3_1,0,,,,,,rhizosphere,RS,,186,,5/13/23,9,sample,,rhizo_assembly
RS_187,RS_187,Zeb,time,day35,1,9-Sep,Zeb_time_day35_1,20.5,21.96,17.26,16.27,5.69,0.99,rhizosphere,RS,,187,,5/13/23,9,sample,,rhizo_assembly
RS_188,RS_188,Zeb,time,day63,1,7-Oct,Zeb_time_day63_1,14.7,52.03,22.99,16.27,35.76,6.72,rhizosphere,RS,,188,,5/13/23,9,sample,,rhizo_assembly
RS_189,RS_189,Zeb,time,day63,3,7-Oct,Zeb_time_day63_3,22.1,58.94,24.99,16.27,42.67,8.72,rhizosphere,RS,,189,,5/13/23,9,sample,,rhizo_assembly
RS_190,RS_190,,,,,,Negative_group9,,,,,,,rhizosphere,RS,,190,,5/13/23,9,control,negative,rhizo_assembly
RS_191,RS_191,Control,growth,R7,2,28-Sep,Control_growth_R7_2,28.9,42.15,28.67,16.27,25.88,12.4,rhizosphere,RS,,191,,5/13/23,10,sample,,rhizo_assembly
RS_192,RS_192,Control,growth,V1,1,15-Aug,Control_growth_V1_1,9.5,,2.96,2.5,,0.46,rhizosphere,RS,,192,,5/13/23,10,sample,,rhizo_assembly
RS_193,RS_193,Control,growth,V1,2,15-Aug,Control_growth_V1_2,10.7,,2.94,2.5,,0.44,rhizosphere,RS,,193,,5/13/23,10,sample,,rhizo_assembly
RS_194,RS_194,Control,growth,V1,5,15-Aug,Control_growth_V1_5,11.9,,2.96,2.5,,0.46,rhizosphere,RS,,194,,5/13/23,10,sample,,rhizo_assembly
RS_195,RS_195,Control,growth,V3,1,24-Aug,Control_growth_V3_1,16.6,22.11,17.92,16.27,5.84,1.65,rhizosphere,RS,,195,,5/13/23,10,sample,,rhizo_assembly
RS_196,RS_196,Control,time,day21,5,26-Aug,Control_time_day21_5,18.9,24.36,18.28,16.27,8.09,2.01,rhizosphere,RS,,196,,5/13/23,10,sample,,rhizo_assembly
RS_197,RS_197,Control,time,day49,1,23-Sep,Control_time_day49_1,32.5,54.55,26.12,16.27,38.28,9.85,rhizosphere,RS,,197,,5/13/23,10,sample,,rhizo_assembly
RS_198,RS_198,Control,time,day49,2,23-Sep,Control_time_day49_2,33,51.59,24.86,16.27,35.32,8.59,rhizosphere,RS,,198,,5/13/23,10,sample,,rhizo_assembly
RS_199,RS_199,Control,time,day49,5,23-Sep,Control_time_day49_5,30.8,64.68,27.78,16.27,48.41,11.51,rhizosphere,RS,,199,,5/13/23,10,sample,,rhizo_assembly
RS_200,RS_200,Control,time,day7,5,12-Aug,Control_time_day7_5,8.6,4.89,2.99,2.5,2.39,0.49,rhizosphere,RS,,200,,5/13/23,10,sample,,rhizo_assembly
RS_201,RS_201,Zeb,growth,R1,3,11-Sep,Zeb_growth_R1_3,11.9,22.13,16.88,16.27,5.86,0.61,rhizosphere,RS,,201,,5/13/23,10,sample,,rhizo_assembly
RS_202,RS_202,Zeb,growth,R1,5,11-Sep,Zeb_growth_R1_5,11.9,24.19,17.81,16.27,7.92,1.54,rhizosphere,RS,,202,,5/13/23,10,sample,,rhizo_assembly
RS_203,RS_203,Zeb,growth,R4,4,29-Sep,Zeb_growth_R4_4,22.3,53.2,23.02,16.27,36.93,6.75,rhizosphere,RS,,203,,5/13/23,10,sample,,rhizo_assembly
