group,series,stage,plant_rep,date,PlantID,height,predry_w_env,postdry_w_env,envelope,predry,postdry
Control,time,day7,1,12-Aug,Control_time_day7_1,9.1,4.59,2.95,2.5,2.09,0.45
Control,time,day7,2,12-Aug,Control_time_day7_2,7.8,4.58,2.93,2.5,2.08,0.43
Control,time,day7,3,12-Aug,Control_time_day7_3,8,4.55,2.94,2.5,2.05,0.44
Control,time,day7,4,12-Aug,Control_time_day7_4,7.3,4.78,2.91,2.5,2.28,0.41
Control,time,day7,5,12-Aug,Control_time_day7_5,8.6,4.89,2.99,2.5,2.39,0.49
Zeb,time,day7,1,12-Aug,Zeb_time_day7_1,2,3.75,2.95,2.5,1.25,0.45
Zeb,time,day7,2,12-Aug,Zeb_time_day7_2,1,3.88,3.05,2.5,1.38,0.55
Zeb,time,day7,3,12-Aug,Zeb_time_day7_3,1.1,4.31,3.14,2.5,1.81,0.64
Zeb,time,day7,4,12-Aug,Zeb_time_day7_4,1.2,3.85,3.05,2.5,1.35,0.55
Zeb,time,day7,5,12-Aug,Zeb_time_day7_5,1.8,3.95,2.97,2.5,1.45,0.47
Control,time,day14,1,19-Aug,Control_time_day14_1,11.9,20.01,17.09,16.27,3.74,0.82
Control,time,day14,2,19-Aug,Control_time_day14_2,11.8,20,16.86,16.27,3.73,0.59
Control,time,day14,3,19-Aug,Control_time_day14_3,13,20.21,17.2,16.27,3.94,0.93
Control,time,day14,4,19-Aug,Control_time_day14_4,10.4,19.69,16.94,16.27,3.42,0.67
Control,time,day14,5,19-Aug,Control_time_day14_5,10.7,20.01,16.81,16.27,3.74,0.54
Zeb,time,day14,1,19-Aug,Zeb_time_day14_1,4.8,4.04,3,2.5,1.54,0.5
Zeb,time,day14,2,19-Aug,Zeb_time_day14_2,5,4.21,2.96,2.5,1.71,0.46
Zeb,time,day14,3,19-Aug,Zeb_time_day14_3,4.7,4.26,2.93,2.5,1.76,0.43
Zeb,time,day14,4,19-Aug,Zeb_time_day14_4,4.9,4.09,3,2.5,1.59,0.5
Zeb,time,day14,5,19-Aug,Zeb_time_day14_5,4.2,4.14,3.03,2.5,1.64,0.53
Control,growth,V1,1,15-Aug,Control_growth_V1_1,9.5,,2.96,2.5,,0.46
Control,growth,V1,2,15-Aug,Control_growth_V1_2,10.7,,2.94,2.5,,0.44
Control,growth,V1,3,15-Aug,Control_growth_V1_3,12.4,,3.07,2.5,,0.57
Control,growth,V1,4,15-Aug,Control_growth_V1_4,10.6,,2.95,2.5,,0.45
Control,growth,V1,5,15-Aug,Control_growth_V1_5,11.9,,2.96,2.5,,0.46
Control,growth,V2,1,19-Aug,Control_growth_V2_1,13.9,21.15,17.39,16.27,4.88,1.12
Control,growth,V2,2,19-Aug,Control_growth_V2_2,9.1,20,17.09,16.27,3.73,0.82
Control,growth,V2,3,19-Aug,Control_growth_V2_3,13.7,21.07,17.14,16.27,4.8,0.87
Control,growth,V2,4,19-Aug,Control_growth_V2_4,10.1,19.95,16.98,16.27,3.68,0.71
Control,growth,V2,5,19-Aug,Control_growth_V2_5,9.9,20.11,17.02,16.27,3.84,0.75
Control,growth,V3,1,24-Aug,Control_growth_V3_1,16.6,22.11,17.92,16.27,5.84,1.65
Control,growth,V3,2,24-Aug,Control_growth_V3_2,14.3,20.66,17.75,16.27,4.39,1.48
Control,growth,V3,3,24-Aug,Control_growth_V3_3,20.3,23.24,18.42,16.27,6.97,2.15
Control,growth,V3,4,24-Aug,Control_growth_V3_4,17.5,21.65,17.65,16.27,5.38,1.38
Control,growth,V3,5,24-Aug,Control_growth_V3_5,13.9,19.94,17.49,16.27,3.67,1.22
Zeb,growth,V1,1,25-Aug,Zeb_growth_V1_1,7.8,5.4,3.11,2.5,2.9,0.61
Zeb,growth,V1,2,25-Aug,Zeb_growth_V1_2,6.7,5.46,3.08,2.5,2.96,0.58
Zeb,growth,V1,3,25-Aug,Zeb_growth_V1_3,10.1,4.97,3.01,2.5,2.47,0.51
Zeb,growth,V1,4,25-Aug,Zeb_growth_V1_4,7.9,4.14,2.89,2.5,1.64,0.39
Zeb,growth,V1,5,25-Aug,Zeb_growth_V1_5,7.8,5.14,3.05,2.5,2.64,0.55
Control,time,day21,1,26-Aug,Control_time_day21_1,14.9,22.26,17.56,16.27,5.99,1.29
Control,time,day21,2,26-Aug,Control_time_day21_2,18.9,24.75,18.07,16.27,8.48,1.8
Control,time,day21,3,26-Aug,Control_time_day21_3,17.6,23.51,17.62,16.27,7.24,1.35
Control,time,day21,4,26-Aug,Control_time_day21_4,19.6,24.39,17.77,16.27,8.12,1.5
Control,time,day21,5,26-Aug,Control_time_day21_5,18.9,24.36,18.28,16.27,8.09,2.01
Zeb,time,day21,1,26-Aug,Zeb_time_day21_1,6.2,4.31,2.92,2.5,1.81,0.42
Zeb,time,day21,2,26-Aug,Zeb_time_day21_2,9.5,5.48,3.04,2.5,2.98,0.54
Zeb,time,day21,3,26-Aug,Zeb_time_day21_3,6.5,4.31,2.89,2.5,1.81,0.39
Zeb,time,day21,4,26-Aug,Zeb_time_day21_4,4.4,4.45,3.01,2.5,1.95,0.51
Zeb,time,day21,5,26-Aug,Zeb_time_day21_5,4.1,4.15,3.02,2.5,1.65,0.52
Zeb,growth,V2,1,29-Aug,Zeb_growth_V2_1,8.3,5.07,3.03,2.5,2.57,0.53
Zeb,growth,V2,2,29-Aug,Zeb_growth_V2_2,8.1,5.26,3.11,2.5,2.76,0.61
Zeb,growth,V2,3,29-Aug,Zeb_growth_V2_3,7.9,5.17,2.95,2.5,2.67,0.45
Zeb,growth,V2,4,29-Aug,Zeb_growth_V2_4,8.7,5.51,3.07,2.5,3.01,0.57
Zeb,growth,V2,5,29-Aug,Zeb_growth_V2_5,10,4.86,2.85,2.5,2.36,0.35
Zeb,growth,V3,1,30-Aug,Zeb_growth_V3_1,11.6,6.43,3.21,2.5,3.93,0.71
Zeb,growth,V3,2,30-Aug,Zeb_growth_V3_2,11.5,6.59,3.3,2.5,4.09,0.8
Zeb,growth,V3,3,30-Aug,Zeb_growth_V3_3,10.5,6.19,3.34,2.5,3.69,0.84
Zeb,growth,V3,4,30-Aug,Zeb_growth_V3_4,10.1,5.92,3.18,2.5,3.42,0.68
Zeb,growth,V3,5,30-Aug,Zeb_growth_V3_5,11.2,5.71,3.15,2.5,3.21,0.65
Control,growth,V4,1,30-Aug,Control_growth_V4_1,27.1,27.57,18.39,16.27,11.3,2.12
Control,growth,V4,2,30-Aug,Control_growth_V4_2,26.1,26.24,18.16,16.27,9.97,1.89
Control,growth,V4,3,30-Aug,Control_growth_V4_3,20.3,25.85,18.17,16.27,9.58,1.9
Control,growth,V4,4,30-Aug,Control_growth_V4_4,25.9,27.48,18.2,16.27,11.21,1.93
Control,growth,V4,5,30-Aug,Control_growth_V4_5,29.8,31.11,18.92,16.27,14.84,2.65
Control,growth,R1,1,31-Aug,Control_growth_R1_1,22.9,28.81,18.34,16.27,12.54,2.07
Control,growth,R1,2,31-Aug,Control_growth_R1_2,26.7,28.23,18.37,16.27,11.96,2.1
Control,growth,R1,3,31-Aug,Control_growth_R1_3,21.7,26.59,18.18,16.27,10.32,1.91
Control,growth,R1,4,31-Aug,Control_growth_R1_4,28.8,30.59,18.9,16.27,14.32,2.63
Control,growth,R1,5,31-Aug,Control_growth_R1_5,31.9,30.11,18.69,16.27,13.84,2.42
Zeb,growth,V4,1,6-Sep,Zeb_growth_V4_1,9.6,12.52,9.54,8.88,3.64,0.66
Zeb,growth,V4,2,6-Sep,Zeb_growth_V4_2,19.2,13.55,9.83,8.88,4.67,0.95
Zeb,growth,V4,3,6-Sep,Zeb_growth_V4_3,15.1,12.32,9.33,8.88,3.44,0.45
Zeb,growth,V4,4,6-Sep,Zeb_growth_V4_4,9.6,12.62,9.41,8.88,3.74,0.53
Zeb,growth,V4,5,6-Sep,Zeb_growth_V4_5,13,15.43,10.12,8.88,6.55,1.24
Control,time,day35,1,9-Sep,Control_time_day35_1,34.4,53.91,22.19,16.27,37.64,5.92
Control,time,day35,2,9-Sep,Control_time_day35_2,28.1,43.31,21.17,16.27,27.04,4.9
Control,time,day35,3,9-Sep,Control_time_day35_3,33.9,37.2,20.25,16.27,20.93,3.98
Control,time,day35,4,9-Sep,Control_time_day35_4,28.1,43.98,20.66,16.27,27.71,4.39
Control,time,day35,5,9-Sep,Control_time_day35_5,32,49.2,21.72,16.27,32.93,5.45
Zeb,time,day35,1,9-Sep,Zeb_time_day35_1,20.5,21.96,17.26,16.27,5.69,0.99
Zeb,time,day35,2,9-Sep,Zeb_time_day35_2,11.8,21.59,17.16,16.27,5.32,0.89
Zeb,time,day35,3,9-Sep,Zeb_time_day35_3,20.7,22.87,17.75,16.27,6.6,1.48
Zeb,time,day35,4,9-Sep,Zeb_time_day35_4,13.4,24.01,18.07,16.27,7.74,1.8
Zeb,time,day35,5,9-Sep,Zeb_time_day35_5,14.6,19.97,17.02,16.27,3.7,0.75
Control,growth,R4,1,11-Sep,Control_growth_R4_1,21.4,59.84,22.09,16.27,43.57,5.82
Control,growth,R4,2,11-Sep,Control_growth_R4_2,25.1,53.66,21.35,16.27,37.39,5.08
Control,growth,R4,3,11-Sep,Control_growth_R4_3,30.8,58.02,21.42,16.27,41.75,5.15
Control,growth,R4,4,11-Sep,Control_growth_R4_4,33.4,58.66,21.6,16.27,42.39,5.33
Control,growth,R4,5,11-Sep,Control_growth_R4_5,37.7,68.28,23.59,16.27,52.01,7.32
Zeb,growth,R1,1,11-Sep,Zeb_growth_R1_1,9.8,20.32,16.52,16.27,4.05,0.25
Zeb,growth,R1,2,11-Sep,Zeb_growth_R1_2,22.2,24.56,17.46,16.27,8.29,1.19
Zeb,growth,R1,3,11-Sep,Zeb_growth_R1_3,11.9,22.13,16.88,16.27,5.86,0.61
Zeb,growth,R1,4,11-Sep,Zeb_growth_R1_4,37.5,27.37,18.03,16.27,11.1,1.76
Zeb,growth,R1,5,11-Sep,Zeb_growth_R1_5,11.9,24.19,17.81,16.27,7.92,1.54
Control,time,day49,1,23-Sep,Control_time_day49_1,32.5,54.55,26.12,16.27,38.28,9.85
Control,time,day49,2,23-Sep,Control_time_day49_2,33,51.59,24.86,16.27,35.32,8.59
Control,time,day49,3,23-Sep,Control_time_day49_3,30.1,63.76,27.29,16.27,47.49,11.02
Control,time,day49,4,23-Sep,Control_time_day49_4,35.4,47.77,25.05,16.27,31.5,8.78
Control,time,day49,5,23-Sep,Control_time_day49_5,30.8,64.68,27.78,16.27,48.41,11.51
Zeb,time,day49,1,23-Sep,Zeb_time_day49_1,13.4,30.33,19.55,16.27,14.06,3.28
Zeb,time,day49,2,23-Sep,Zeb_time_day49_2,18.3,27.58,18.87,16.27,11.31,2.6
Zeb,time,day49,3,23-Sep,Zeb_time_day49_3,24.4,28.32,18.98,16.27,12.05,2.71
Zeb,time,day49,4,23-Sep,Zeb_time_day49_4,24.3,37.2,21.5,16.27,20.93,5.23
Zeb,time,day49,5,23-Sep,Zeb_time_day49_5,18.7,27.55,18.95,16.27,11.28,2.68
Control,growth,R7,1,28-Sep,Control_growth_R7_1,28.2,32.16,28.55,16.27,15.89,12.28
Control,growth,R7,2,28-Sep,Control_growth_R7_2,28.9,42.15,28.67,16.27,25.88,12.4
Control,growth,R7,3,28-Sep,Control_growth_R7_3,32,52.15,27.83,16.27,35.88,11.56
Control,growth,R7,4,28-Sep,Control_growth_R7_4,24.2,51.38,26.01,16.27,35.11,9.74
Control,growth,R7,5,28-Sep,Control_growth_R7_5,25.7,34.76,26.5,16.27,18.49,10.23
Zeb,growth,R4,1,29-Sep,Zeb_growth_R4_1,25,45.72,21.73,16.27,29.45,5.46
Zeb,growth,R4,2,29-Sep,Zeb_growth_R4_2,13.9,55.41,22.42,16.27,39.14,6.15
Zeb,growth,R4,3,29-Sep,Zeb_growth_R4_3,19.5,53.28,21.65,16.27,37.01,5.38
Zeb,growth,R4,4,29-Sep,Zeb_growth_R4_4,22.3,53.2,23.02,16.27,36.93,6.75
Zeb,growth,R4,5,29-Sep,Zeb_growth_R4_5,21.4,59.32,24.23,16.27,43.05,7.96
Control,time,day63,1,7-Oct,Control_time_day63_1,31.5,36.61,28.26,16.27,20.34,11.99
Control,time,day63,2,7-Oct,Control_time_day63_2,33,34.21,27.25,16.27,17.94,10.98
Control,time,day63,3,7-Oct,Control_time_day63_3,32.5,40.15,29.61,16.27,23.88,13.34
Control,time,day63,4,7-Oct,Control_time_day63_4,29.9,40.98,28.57,16.27,24.71,12.3
Control,time,day63,5,7-Oct,Control_time_day63_5,30.9,40.14,27.85,16.27,23.87,11.58
Zeb,time,day63,1,7-Oct,Zeb_time_day63_1,14.7,52.03,22.99,16.27,35.76,6.72
Zeb,time,day63,2,7-Oct,Zeb_time_day63_2,24.6,39.77,21.7,16.27,23.5,5.43
Zeb,time,day63,3,7-Oct,Zeb_time_day63_3,22.1,58.94,24.99,16.27,42.67,8.72
Zeb,time,day63,4,7-Oct,Zeb_time_day63_4,20.1,42.07,21.75,16.27,25.8,5.48
Zeb,time,day63,5,7-Oct,Zeb_time_day63_5,18.4,41.63,22.26,16.27,25.36,5.99
Zeb,growth,R7,1,19-Oct,Zeb_growth_R7_1,20.3,30.01,26.03,16.27,13.74,9.76
Zeb,growth,R7,2,19-Oct,Zeb_growth_R7_2,14.8,28.38,22.53,16.27,12.11,6.26
Zeb,growth,R7,3,19-Oct,Zeb_growth_R7_3,22.3,27.99,26.05,16.27,11.72,9.78
Zeb,growth,R7,4,19-Oct,Zeb_growth_R7_4,20.6,31.87,29.89,16.27,15.6,13.62
Zeb,growth,R7,5,19-Oct,Zeb_growth_R7_5,28.3,27.38,24.72,16.27,11.11,8.45
Control,time,day3,1,,Control_time_day3_1,0,,,,,
Control,time,day3,2,,Control_time_day3_2,0,,,,,
Control,time,day3,3,,Control_time_day3_3,0,,,,,
Control,time,day3,4,,Control_time_day3_4,0,,,,,
Control,time,day3,5,,Control_time_day3_5,0,,,,,
Zeb,time,day3,1,,Zeb_time_day3_1,0,,,,,
Zeb,time,day3,2,,Zeb_time_day3_2,0,,,,,
Zeb,time,day3,3,,Zeb_time_day3_3,0,,,,,
Zeb,time,day3,4,,Zeb_time_day3_4,0,,,,,
Zeb,time,day3,5,,Zeb_time_day3_5,0,,,,,